LOCATION_NAME,M2N,M4Y,M5A,M5B,M4H,M3N,M5T,M4X,M5G,M2J,M5S,M3C,M6K,M1G,M5V,M1K
HFS 545 Lake Shore Blvd W Shelter,7281177.504067421,7284404.703445843,7286036.1841265485,7284731.710682915,7287199.452297227,7272251.366771968,7283168.782994619,7285466.216387701,7284167.942648419,7286284.860669422,7283024.770189957,7286900.278979152,7280556.248937774,7297109.806644397,7282594.383342889,7293631.644875232
HFS 545 Lake Shore Blvd W Shelter,7281177.504067421,7284404.703445843,7286036.1841265485,7284731.710682915,7287199.452297227,7272251.366771968,7283168.782994619,7285466.216387701,7284167.942648419,7286284.860669422,7283024.770189957,7286900.278979152,7280556.248937774,7297109.806644397,7282594.383342889,7293631.644875232
Na-Me-Res,7281177.517684404,7284404.717135747,7286036.197823328,7284731.724379061,7287199.465958221,7272251.380400263,7283168.796694696,7285466.230075176,7284167.956346151,7286284.874274613,7283024.783883062,7286900.292624714,7280556.262648154,7297109.820250609,7282594.397055549,7293631.658514562
Sagatay ,7281177.5179710435,7284404.717423139,7286036.198110792,7284731.724666518,7287199.466245314,7272251.380687019,7283168.796982194,7285466.230362543,7284167.956633626,7286284.874561131,7283024.784170488,7286900.292911649,7280556.262935758,7297109.820537137,7282594.397343177,7293631.658801432
Sistering,7281177.530655262,7284404.730078006,7286036.210762888,7284731.737318871,7287199.478911824,7272251.393366687,7283168.809632962,7285466.243018388,7284167.969285338,7286284.887250092,7283024.796824065,7286900.305584368,7280556.275582375,7297109.833225687,7282594.409988875,7293631.67147666
SVDP Amelie House,7281177.440691202,7284404.640098024,7286036.120781416,7284731.647337534,7287199.388938129,7272251.303400143,7283168.719650775,7285466.153038933,7284167.879303659,7286284.797288626,7283024.706843388,7286900.215614044,7280556.18559796,7297109.743263997,7282594.320003967,7293631.5815077
SVDP Elisa House,7281177.604233318,7284404.803602967,7286036.284282833,7284731.810839278,7287199.552457859,7272251.46693652,7283168.883150499,7285466.316545122,7284168.042804588,7286284.960836715,7283024.870346691,7286900.37914164,7280556.349092392,7297109.906811569,7282594.483497227,7293631.745038467
SVDP Mary's Home,7281177.480777927,7284404.680188591,7286036.16087234,7284731.687428426,7287199.429027184,7272251.343487471,7283168.75974187,7285466.193129373,7284167.919394632,7286284.837374721,7283024.7469341215,7286900.255702285,7280556.225689588,7297109.783350147,7282594.360095712,7293631.621595611
SVDP St. Clare's Residence,7281177.479851298,7284404.679477346,7286036.160181411,7284731.6867356235,7287199.428230534,7272251.342594246,7283168.7590606855,7285466.192410952,7284167.918706517,7286284.836413273,7283024.746232336,7286900.254860058,7280556.225038838,7297109.782391712,7282594.359451703,7293631.620734977
St. Simon's Clubbe House,7281177.4771436285,7284404.676568572,7286036.157253669,7284731.683809631,7287199.425401501,7272251.339855387,7283168.7561238445,7285466.189508879,7284167.915776148,7286284.833738115,7283024.74331473,7286900.252073582,7280556.222073582,7297109.779713741,7282594.356480153,7293631.617965688
Street Haven,7281177.475302261,7284404.674710568,7286036.155394096,7284731.681950202,7287199.423550094,7272251.338011438,7283168.754263519,7285466.187651428,7284167.913916358,7286284.831899437,7283024.741455996,7286900.250225695,7280556.220210905,7297109.777874829,7282594.354616957,7293631.616119222
